title,category,price_gbp,price_inr,rating,in_stock,product_url
Slow States of Collapse: Poems,Poetry,57.31,6046.2,3,True,https://books.toscrape.com/slow-states-of-collapse-poems_960/index.html
Untitled Collection: Sabbath Poems 2014,Poetry,14.27,1505.48,4,True,https://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html
Poems That Make Grown Women Cry,Poetry,14.19,1497.04,4,True,https://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html
Night Sky with Exit Wounds,Poetry,41.05,4330.77,1,True,https://books.toscrape.com/night-sky-with-exit-wounds_822/index.html
salt.,Poetry,46.78,4935.29,4,True,https://books.toscrape.com/salt_731/index.html
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,50.89,5368.9,5,True,https://books.toscrape.com/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html
Out of Print: City Lights Spotlight No. 14,Poetry,53.64,5659.02,5,True,https://books.toscrape.com/out-of-print-city-lights-spotlight-no-14_536/index.html
Les Fleurs du Mal,Poetry,29.04,3063.72,5,True,https://books.toscrape.com/les-fleurs-du-mal_530/index.html
Howl and Other Poems,Poetry,40.45,4267.48,2,True,https://books.toscrape.com/howl-and-other-poems_522/index.html
Leave This Song Behind: Teen Poetry at Its Best,Poetry,51.17,5398.44,5,True,https://books.toscrape.com/leave-this-song-behind-teen-poetry-at-its-best_474/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,15.42,1626.81,5,True,https://books.toscrape.com/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
The Crossover,Poetry,38.77,4090.24,4,True,https://books.toscrape.com/the-crossover_398/index.html
Booked,Poetry,17.49,1845.19,5,True,https://books.toscrape.com/booked_365/index.html
Twenty Love Poems and a Song of Despair,Poetry,30.95,3265.22,4,True,https://books.toscrape.com/twenty-love-poems-and-a-song-of-despair_91/index.html
